image_id,category,filename,image_width,image_height,A_P,A_O,n_P,n_O,n_gt_total
Action_001,Action,001.jpg,1920,1080,606944,1466656,242,62,304
Action_003,Action,003.jpg,1920,1080,646362,1427238,152,202,354
Action_005,Action,005.jpg,1920,1080,454248,1619352,270,70,340
Action_007,Action,007.jpg,1920,1080,274573,1799027,120,216,336
Action_009,Action,009.jpg,1920,1080,1338589,735011,269,64,333
Action_011,Action,011.jpg,1920,1080,89953,1983647,118,250,368
Action_013,Action,013.jpg,1920,1080,147187,1926413,74,280,354
Action_015,Action,015.jpg,1920,1080,64692,2008908,118,241,359
Action_017,Action,017.jpg,1920,1080,109000,1964600,103,229,332
Action_019,Action,019.jpg,1920,1080,24645,2048955,30,351,381
Action_023,Action,023.jpg,1920,1080,64852,2008748,63,318,381
Action_025,Action,025.jpg,1920,1080,125187,1948413,124,292,416
Action_027,Action,027.jpg,1920,1080,176067,1897533,118,288,406
Action_029,Action,029.jpg,1920,1080,272325,1801275,116,266,382
Action_031,Action,031.jpg,1920,1080,192290,1881310,158,205,363
Action_033,Action,033.jpg,1920,1080,52806,2020794,74,223,297
Action_037,Action,037.jpg,1920,1080,82199,1991401,69,242,311
Action_039,Action,039.jpg,1920,1080,97757,1975843,107,221,328
Action_041,Action,041.jpg,1920,1080,54345,2019255,60,169,229
Action_043,Action,043.jpg,1920,1080,131129,1942471,143,102,245
Action_045,Action,045.jpg,1920,1080,36370,2037230,101,203,304
Action_047,Action,047.jpg,1920,1080,76236,1997364,161,72,233
Action_049,Action,049.jpg,1920,1080,115343,1958257,205,110,315
Action_051,Action,051.jpg,1920,1080,94684,1978916,111,279,390
Action_053,Action,053.jpg,1920,1080,209684,1863916,227,145,372
Action_055,Action,055.jpg,1920,1080,136568,1937032,190,212,402
Action_063,Action,063.jpg,1920,1080,301511,1772089,175,195,370
Action_069,Action,069.jpg,1920,1080,65423,2008177,151,184,335
Action_071,Action,071.jpg,1920,1080,288569,1785031,155,213,368
Action_075,Action,075.jpg,1920,1080,4268,2069332,13,331,344
Action_085,Action,085.jpg,1920,1080,35367,2038233,91,285,376
Action_087,Action,087.jpg,1920,1080,21142,2052458,63,255,318
Action_089,Action,089.jpg,1920,1080,31965,2041635,58,287,345
Action_091,Action,091.jpg,1920,1080,95722,1977878,156,203,359
Action_093,Action,093.jpg,1920,1080,27743,2045857,28,368,396
Action_095,Action,095.jpg,1920,1080,19891,2053709,37,281,318
Action_097,Action,097.jpg,1920,1080,85247,1988353,162,181,343
Action_101,Action,101.jpg,1920,1080,120421,1953179,170,186,356
Action_103,Action,103.jpg,1920,1080,75271,1998329,106,287,393
Action_105,Action,105.jpg,1920,1080,20169,2053431,34,276,310
Action_107,Action,107.jpg,1920,1080,218186,1855414,70,288,358
Action_109,Action,109.jpg,1920,1080,57328,2016272,73,273,346
Action_111,Action,111.jpg,1920,1080,130421,1943179,133,205,338
Action_113,Action,113.jpg,1920,1080,330148,1743452,74,263,337
Action_115,Action,115.jpg,1920,1080,225892,1847708,200,99,299
Action_117,Action,117.jpg,1920,1080,257570,1816030,184,146,330
Action_119,Action,119.jpg,1920,1080,122187,1951413,79,236,315
Action_121,Action,121.jpg,1920,1080,176954,1896646,176,193,369
Action_123,Action,123.jpg,1920,1080,69914,2003686,99,208,307
Action_125,Action,125.jpg,1920,1080,87574,1986026,184,135,319
Action_127,Action,127.jpg,1920,1080,91713,1981887,133,224,357
Action_129,Action,129.jpg,1920,1080,157032,1916568,228,107,335
Action_133,Action,133.jpg,1920,1080,23343,2050257,62,249,311
Action_137,Action,137.jpg,1920,1080,151835,1921765,114,257,371
Action_139,Action,139.jpg,1920,1080,102462,1971138,82,251,333
Action_143,Action,143.jpg,1920,1080,42310,2031290,78,208,286
Action_145,Action,145.jpg,1920,1080,172363,1901237,103,203,306
Action_147,Action,147.jpg,1920,1080,79015,1994585,48,288,336
Action_151,Action,151.jpg,1920,1080,191803,1881797,83,291,374
Action_153,Action,153.jpg,1920,1080,504180,1569420,214,154,368
Action_155,Action,155.jpg,1920,1080,109407,1964193,87,280,367
Action_159,Action,159.jpg,1920,1080,174906,1898694,228,158,386
Action_161,Action,161.jpg,1920,1080,228707,1844893,148,247,395
Action_165,Action,165.jpg,1920,1080,40862,2032738,70,229,299
Action_169,Action,169.jpg,1920,1080,584209,1489391,215,71,286
Action_171,Action,171.jpg,1920,1080,169650,1903950,115,181,296
Action_173,Action,173.jpg,1920,1080,775114,1298486,243,104,347
Action_175,Action,175.jpg,1920,1080,204301,1869299,91,262,353
Action_177,Action,177.jpg,1920,1080,102781,1970819,113,239,352
Action_179,Action,179.jpg,1920,1080,151354,1922246,168,150,318
Action_181,Action,181.jpg,1920,1080,270492,1803108,196,179,375
Action_183,Action,183.jpg,1920,1080,69339,2004261,95,250,345
Action_185,Action,185.jpg,1920,1080,88978,1984622,208,186,394
Action_187,Action,187.jpg,1920,1080,156890,1916710,227,70,297
Action_189,Action,189.jpg,1920,1080,339598,1734002,113,252,365
Action_191,Action,191.jpg,1920,1080,301158,1772442,276,71,347
Action_193,Action,193.jpg,1920,1080,1114176,959424,243,97,340
Action_195,Action,195.jpg,1920,1080,459637,1613963,185,207,392
Action_197,Action,197.jpg,1920,1080,399532,1674068,252,119,371
Action_199,Action,199.jpg,1920,1080,85319,1988281,84,255,339
Affective_005,Affective,005.jpg,1920,1080,139173,1934427,115,219,334
Affective_015,Affective,015.jpg,1920,1080,80018,1993582,92,266,358
Affective_029,Affective,029.jpg,1920,1080,419744,1653856,136,248,384
Affective_033,Affective,033.jpg,1920,1080,964065,1109535,358,14,372
Affective_037,Affective,037.jpg,1920,1080,314451,1759149,236,74,310
Affective_039,Affective,039.jpg,1920,1080,883917,1189683,344,22,366
Affective_041,Affective,041.jpg,1920,1080,958097,1115503,286,14,300
Affective_043,Affective,043.jpg,1920,1080,645116,1428484,255,56,311
Affective_045,Affective,045.jpg,1920,1080,436578,1637022,185,160,345
Affective_049,Affective,049.jpg,1920,1080,297825,1775775,133,185,318
Affective_051,Affective,051.jpg,1920,1080,824736,1248864,260,105,365
Affective_053,Affective,053.jpg,1920,1080,1039081,1034519,315,66,381
Affective_055,Affective,055.jpg,1920,1080,540681,1532919,312,64,376
Affective_057,Affective,057.jpg,1920,1080,292536,1781064,267,71,338
Affective_059,Affective,059.jpg,1920,1080,230449,1843151,311,88,399
Affective_061,Affective,061.jpg,1920,1080,876431,1197169,354,42,396
Affective_065,Affective,065.jpg,1920,1080,690534,1383066,289,85,374
Affective_067,Affective,067.jpg,1920,1080,13269,2060331,48,267,315
Affective_069,Affective,069.jpg,1920,1080,523841,1549759,364,7,371
Affective_071,Affective,071.jpg,1920,1080,505565,1568035,264,97,361
Affective_073,Affective,073.jpg,1920,1080,686823,1386777,302,78,380
Affective_077,Affective,077.jpg,1920,1080,325127,1748473,198,202,400
Affective_079,Affective,079.jpg,1920,1080,602623,1470977,298,62,360
Affective_081,Affective,081.jpg,1920,1080,208132,1865468,184,129,313
Affective_083,Affective,083.jpg,1920,1080,291627,1781973,192,114,306
Affective_085,Affective,085.jpg,1920,1080,492058,1581542,290,22,312
Affective_087,Affective,087.jpg,1920,1080,632941,1440659,212,168,380
Affective_089,Affective,089.jpg,1920,1080,273887,1799713,133,233,366
Affective_091,Affective,091.jpg,1920,1080,913733,1159867,355,32,387
Affective_093,Affective,093.jpg,1920,1080,689476,1384124,327,55,382
Affective_097,Affective,097.jpg,1920,1080,176645,1896955,250,193,443
Affective_101,Affective,101.jpg,1920,1080,1147984,925616,395,29,424
Affective_103,Affective,103.jpg,1920,1080,1092290,981310,377,6,383
Affective_105,Affective,105.jpg,1920,1080,641633,1431967,335,7,342
Affective_107,Affective,107.jpg,1920,1080,383822,1689778,275,111,386
Affective_109,Affective,109.jpg,1920,1080,778296,1295304,359,10,369
Affective_113,Affective,113.jpg,1920,1080,535316,1538284,343,25,368
Affective_115,Affective,115.jpg,1920,1080,402745,1670855,102,272,374
Affective_121,Affective,121.jpg,1920,1080,751284,1322316,264,128,392
Affective_123,Affective,123.jpg,1920,1080,671882,1401718,323,89,412
Affective_127,Affective,127.jpg,1920,1080,93655,1979945,87,307,394
Affective_135,Affective,135.jpg,1920,1080,181865,1891735,121,212,333
Affective_137,Affective,137.jpg,1920,1080,108836,1964764,74,269,343
Affective_141,Affective,141.jpg,1920,1080,370357,1703243,68,223,291
Affective_145,Affective,145.jpg,1920,1080,387794,1685806,275,56,331
Affective_147,Affective,147.jpg,1920,1080,541779,1531821,203,140,343
Affective_153,Affective,153.jpg,1920,1080,418508,1655092,156,192,348
Affective_157,Affective,157.jpg,1920,1080,213669,1859931,201,128,329
Affective_159,Affective,159.jpg,1920,1080,240729,1832871,252,116,368
Affective_163,Affective,163.jpg,1920,1080,747500,1326100,348,16,364
Affective_165,Affective,165.jpg,1920,1080,670827,1402773,303,31,334
Affective_167,Affective,167.jpg,1920,1080,168168,1905432,117,225,342
Affective_173,Affective,173.jpg,1920,1080,657393,1416207,298,34,332
Affective_175,Affective,175.jpg,1920,1080,138473,1935127,215,170,385
Affective_177,Affective,177.jpg,1920,1080,1147940,925660,358,3,361
Affective_179,Affective,179.jpg,1920,1080,497867,1575733,274,14,288
Affective_181,Affective,181.jpg,1920,1080,690641,1382959,278,104,382
Affective_183,Affective,183.jpg,1920,1080,513395,1560205,250,106,356
Affective_185,Affective,185.jpg,1920,1080,301457,1772143,195,158,353
Affective_187,Affective,187.jpg,1920,1080,978080,1095520,350,52,402
Affective_189,Affective,189.jpg,1920,1080,471332,1602268,232,102,334
Affective_191,Affective,191.jpg,1920,1080,564343,1509257,303,24,327
Affective_197,Affective,197.jpg,1920,1080,875895,1197705,286,49,335
Social_001,Social,001.jpg,1920,1080,491670,1581930,225,182,407
Social_003,Social,003.jpg,1920,1080,1051021,1022579,283,38,321
Social_009,Social,009.jpg,1920,1080,221899,1851701,172,245,417
Social_013,Social,013.jpg,1920,1080,1002445,1071155,328,61,389
Social_015,Social,015.jpg,1920,1080,660463,1413137,215,161,376
Social_017,Social,017.jpg,1920,1080,459458,1614142,281,88,369
Social_021,Social,021.jpg,1920,1080,791060,1282540,281,79,360
Social_027,Social,027.jpg,1920,1080,880100,1193500,328,47,375
Social_035,Social,035.jpg,1920,1080,405558,1668042,161,199,360
Social_037,Social,037.jpg,1920,1080,953005,1120595,308,50,358
Social_041,Social,041.jpg,1920,1080,1445551,628049,345,44,389
Social_043,Social,043.jpg,1920,1080,688676,1384924,59,275,334
Social_047,Social,047.jpg,1920,1080,381777,1691823,139,229,368
Social_051,Social,051.jpg,1920,1080,118685,1954915,109,264,373
Social_053,Social,053.jpg,1920,1080,19065,2054535,43,357,400
Social_061,Social,061.jpg,1920,1080,961267,1112333,342,53,395
Social_067,Social,067.jpg,1920,1080,546323,1527277,241,129,370
Social_073,Social,073.jpg,1920,1080,389686,1683914,270,143,413
Social_089,Social,089.jpg,1920,1080,602106,1471494,270,86,356
Social_091,Social,091.jpg,1920,1080,826377,1247223,178,179,357
Social_093,Social,093.jpg,1920,1080,588930,1484670,165,198,363
Social_095,Social,095.jpg,1920,1080,1214933,858667,356,57,413
Social_099,Social,099.jpg,1920,1080,552649,1520951,227,155,382
Social_111,Social,111.jpg,1920,1080,387028,1686572,156,203,359
Social_115,Social,115.jpg,1920,1080,442678,1630922,186,168,354
Social_125,Social,125.jpg,1920,1080,967527,1106073,335,35,370
Social_127,Social,127.jpg,1920,1080,555082,1518518,284,93,377
Social_131,Social,131.jpg,1920,1080,173465,1900135,160,132,292
Social_135,Social,135.jpg,1920,1080,821453,1252147,207,167,374
Social_141,Social,141.jpg,1920,1080,417840,1655760,212,158,370
Social_151,Social,151.jpg,1920,1080,503079,1570521,196,183,379
Social_153,Social,153.jpg,1920,1080,324376,1749224,112,229,341
Social_159,Social,159.jpg,1920,1080,563325,1510275,239,141,380
Social_161,Social,161.jpg,1920,1080,369931,1703669,165,191,356
Social_163,Social,163.jpg,1920,1080,704987,1368613,116,227,343
Social_167,Social,167.jpg,1920,1080,611408,1462192,201,163,364
Social_187,Social,187.jpg,1920,1080,911829,1161771,285,89,374
Social_191,Social,191.jpg,1920,1080,508113,1565487,278,124,402
